latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,azimuth_diff,elevation_diff,,,,,
50.51832823,14.97131189,4.75808386,90,4.329564547,241,0,0,,,,,
50.51832764,14.97132596,4.787626124,90,4.347754422,241.0521039,0.364916802,0.052103915,,,,,
50.51832706,14.97134003,4.825544051,90,4.322817611,241.1339142,0,0.081810238,,,,,
50.51832649,14.9713541,4.863461978,90,4.297880801,241.2157244,0,0.081810238,,,,,
50.51832592,14.97136818,4.901379904,90,4.27294399,241.2975346,0,0.081810238,,,,,
50.51832534,14.97138225,4.939297831,90,4.24800718,241.3793449,0,0.081810238,,,,,
50.51832477,14.97139632,4.977215757,90,4.223070369,241.4611551,0,0.081810238,,,,,
50.5183242,14.97141039,5.015133684,90,4.198133559,241.5429653,0,0.081810238,,,,,
50.51832363,14.97142446,5.053051611,90,4.173196748,241.6247756,0,0.081810238,,,,,
50.51832305,14.97143853,5.090969537,90,4.148259938,241.7065858,0,0.081810238,,,,,
50.51832248,14.9714526,5.128887464,90,4.123323127,241.7883961,0,0.081810238,,,,,
50.51832191,14.97146668,5.166805391,90,4.098386317,241.8702063,0,0.081810238,,,,,
50.51832134,14.97148075,5.204723317,90,4.073449506,241.9520165,0,0.081810238,,,,,
50.51831729,14.97148873,5.242641244,90,4.058823529,242,88.99712213,0.047983467,,,,,
50.51830831,14.97148808,5.280559171,90,4.058823529,242,0,0,,,,,
50.51829933,14.97148743,5.318477097,90,4.058823529,242,0,0,,,,,
50.51829035,14.97148678,5.356395024,90,4.058823529,242,0,0,,,,,
50.51828137,14.97148612,5.394312951,90,4.058823529,242,0,0,,,,,
50.51827239,14.97148547,5.432230877,90,4.058823529,242,0,0,,,,,
50.51826341,14.97148482,5.470148804,90,4.058823529,242,0,0,,,,,
50.51825443,14.97148417,5.508066731,90,4.058823529,242,0,0,,,,,
50.51824545,14.97148352,5.545984657,90,4.058823529,242,0,0,,,,,
50.51823647,14.97148286,5.583902584,90,4.058823529,242,0,0,,,,,
50.51822749,14.97148221,5.62182051,90,4.058823529,242,0,0,,,,,
50.51821851,14.97148156,5.659738437,90,4.058823529,242,0,0,,,,,
50.51820953,14.97148091,5.697656364,90,4.058823529,242,0,0,,,,,
50.51820055,14.97148026,5.73557429,90,4.058823529,242,0,0,,,,,
50.51819157,14.97147958,5.773492217,90,5.07902916,240.7462533,0.15826943,-1.253746678,,,,,
50.51818388,14.97148121,5.811410144,90,6.5,239,87.96169343,-1.746253322,,,,,
50.51818312,14.97149526,5.84932807,90,6.5,239,0,0,,,,,
50.51818236,14.97150931,5.887245997,90,6.5,239,0,0,,,,,
50.5181817,14.97152337,5.925163924,90,6.516000491,239,1.227263658,0,,,,,
50.51818114,14.97153744,5.96308185,90,6.546553497,239,0,0,,,,,
50.51818057,14.97155151,6.000999777,90,6.577106504,239,0,0,,,,,
50.51818,14.97156558,6.038917704,90,6.60765951,239,0,0,,,,,
50.51817943,14.97157966,6.07683563,90,6.638212517,239,0,0,,,,,
50.51817887,14.97159373,6.114753557,90,6.668765524,239,0,0,,,,,
50.5181783,14.9716078,6.152671483,90,6.69931853,239,0,0,,,,,
50.51817773,14.97162187,6.19058941,90,6.729871537,239,0,0,,,,,
50.51817716,14.97163594,6.228507337,90,6.760424543,239,0,0,,,,,
50.51817662,14.97165002,6.266425263,90,6.804259758,239,0.218795278,0,,,,,
50.51817609,14.97166409,6.30434319,90,6.853473521,239,0,0,,,,,
50.51817555,14.97167817,6.342261117,90,6.902687284,239,0,0,,,,,
50.51817502,14.97169224,6.380179043,90,6.951901047,239,0,0,,,,,
50.51817449,14.97170632,6.41809697,90,7.001114811,239,0,0,,,,,
50.51817395,14.97172039,6.456014897,90,7.050328574,239,0,0,,,,,
50.51817342,14.97173447,6.493932823,90,7.099542337,239,0,0,,,,,
50.51817289,14.97174854,6.53185075,90,7.1487561,239,0,0,,,,,
50.51817236,14.97176262,6.569768677,90,7.197969863,239,0,0,,,,,
50.51817179,14.97177669,6.607686603,90,7.21518819,239,0.617238056,0,,,,,
50.51817116,14.97179076,6.64560453,90,7.168473,239,0,0,,,,,
50.51817053,14.97180482,6.683522457,90,7.121757809,239,0,0,,,,,
50.5181699,14.97181889,6.721440383,90,7.075042618,239,0,0,,,,,
50.51816927,14.97183295,6.75935831,90,7.028327427,239,0,0,,,,,
50.51816864,14.97184702,6.797276236,90,6.981612236,239,0,0,,,,,
50.51816801,14.97186108,6.835194163,90,6.934897046,239,0,0,,,,,
